instruction,expected_output
Set all IfcWall elements on the third floor to fire rating REI120.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""floor"": 3, ""fire_rating"": ""REI120""}}]}"
Add IfcStair with 15 steps and 3 meters rise.,"{""element_updates"": [{""type"": ""IfcStair"", ""action"": ""add"", ""target_properties"": {""steps"": 15, ""rise"": 3000}, ""unit"": ""mm""}]}"
Remove all elements of type IfcFurnishingElement in the lobby.,"{""element_updates"": [{""type"": ""IfcFurnishingElement"", ""action"": ""remove"", ""target_properties"": {""location"": ""lobby""}}]}"
Add a skylight (IfcRoofWindow) above the atrium.,"{""element_updates"": [{""type"": ""IfcRoofWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""atrium""}}]}"
Set acoustic performance of all IfcWall to class B.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""acoustic_class"": ""B""}}]}"
Add 3 IfcLightFixture elements to the hallway.,"{""element_updates"": [{""type"": ""IfcLightFixture"", ""action"": ""add"", ""target_properties"": {""quantity"": 3, ""location"": ""hallway""}}]}"
Remove all IfcCovering elements marked as 'damaged'.,"{""element_updates"": [{""type"": ""IfcCovering"", ""action"": ""remove"", ""target_properties"": {""status"": ""damaged""}}]}"
Change overall width of entrance IfcWall to 400 mm.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""entrance"", ""width"": 400}, ""unit"": ""mm""}]}"
Add IfcRamp element with slope 6%.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""slope_percent"": 6}}]}"
Assign fire resistance of EI60 to IfcDoor on escape routes.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""fire_resistance"": ""EI60"", ""location"": ""escape route""}}]}"
Add IfcSpace named 'Server Room' with area 20 m².,"{""element_updates"": [{""type"": ""IfcSpace"", ""action"": ""add"", ""target_properties"": {""name"": ""Server Room"", ""area"": 20}, ""unit"": ""m²""}]}"
Could you please remove all instances of IfcDoor from the model?,Removed all elements of type IfcDoor.
Please insert a new IfcWall with a height of 3m and thickness of 0.2m in the south wing.,Added IfcWall in south wing with height 3m and thickness 0.2m.
Kindly update the dimensions of the IfcBeam in the garage to be 5000x400 mm.,Updated IfcBeam in garage to 5000x400 mm.
Would you mind adding an IfcStair in the center zone with a total rise of 2700 mm?,Inserted IfcStair in center zone with 2700 mm rise.
Please remove all IfcSlabs that are smaller than 2x2 meters.,Deleted IfcSlabs smaller than 2x2 meters.
Could you modify the IfcCovering type in the hall to 'ceiling cover'?,Modified IfcCovering type in hall to 'ceiling cover'.
Please change the location of IfcColumn ID 145 to the second storey.,Moved IfcColumn ID 145 to second storey.
Would it be possible to add an IfcRamp with 8% slope next to the main entrance?,Added IfcRamp with 8% slope near main entrance.
Could you replace all IfcWindow instances on the north wall with triple glazing?,Replaced IfcWindow on north wall with triple glazing.
Please revise the material of all IfcRoof elements to 'metal panel'.,Changed all IfcRoof materials to 'metal panel'.
Kindly insert an IfcCurtainWall spanning the atrium from floor to roof.,Inserted IfcCurtainWall across atrium.
Would you be able to remove all IfcFurnishingElement tagged as 'temporary'?,Removed temporary IfcFurnishingElement objects.
Please add an IfcFlowTerminal in each bathroom labeled as 'sink'.,Added IfcFlowTerminal labeled 'sink' in bathrooms.
Could you help by adding a roof opening as IfcOpeningElement above the stairwell?,Created IfcOpeningElement above stairwell.
Please relocate the IfcDistributionBoard from the lobby to the electrical room.,Moved IfcDistributionBoard to electrical room.
Would you mind updating the height of IfcWallStandardCase ID 404 to 2800 mm?,Updated height of IfcWallStandardCase ID 404 to 2800 mm.
Could you kindly remove all IfcMember instances below the basement floor?,Deleted all IfcMember below basement floor.
Please insert a new IfcBuildingStorey between the second and third floors.,Inserted new IfcBuildingStorey between second and third floors.
Could you configure all IfcSpace elements to include HVACZone reference?,Linked all IfcSpace to HVACZone.
Please group all IfcFlowSegment objects into a new system called 'water supply'.,Grouped IfcFlowSegment into system 'water supply'.
Could you please remove all IfcWindow instances larger than 2.0 meters in height?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""Height"": "">2.0""}}]}"
Please add an IfcDoor to the lobby that is 0.9 m wide and 2.1 m tall.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""Location"": ""lobby"", ""Width"": 0.9, ""Height"": 2.1}, ""unit"": ""m""}]}"
Insert an IfcSlab with a thickness of 0.25 m in the first floor bathroom.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""add"", ""target_properties"": {""Thickness"": 0.25, ""Location"": ""bathroom""}, ""unit"": ""m""}]}"
Can you relocate the IfcWall with ID 152 to the second storey?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""id"": 152, ""Storey"": ""second""}}]}"
Add an IfcColumn with height 3.5 m and base diameter of 0.5 m.,"{""element_updates"": [{""type"": ""IfcColumn"", ""action"": ""add"", ""target_properties"": {""Height"": 3.5, ""Diameter"": 0.5}, ""unit"": ""m""}]}"
Please change the material of the IfcBeam to concrete grade C30.,"{""element_updates"": [{""type"": ""IfcBeam"", ""action"": ""modify"", ""target_properties"": {""Material"": ""C30 concrete""}}]}"
Could you define a new IfcWindow in the living room measuring 1.4 by 1.2 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""living room"", ""Width"": 1.4, ""Height"": 1.2}, ""unit"": ""m""}]}"
Please remove all IfcCovering elements of type 'CEILING'.,"{""element_updates"": [{""type"": ""IfcCovering"", ""action"": ""remove"", ""target_properties"": {""PredefinedType"": ""CEILING""}}]}"
Add an IfcRamp that spans 5.2 meters with a slope of 6%.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""Length"": 5.2, ""Slope"": ""6%""}}]}"
Could you add an IfcStair with 15 steps and total rise of 2.8 m?,"{""element_updates"": [{""type"": ""IfcStair"", ""action"": ""add"", ""target_properties"": {""Steps"": 15, ""Rise"": 2.8}, ""unit"": ""m""}]}"
Please insert a window in the hallway with dimensions 1.0 m × 1.5 m.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""hallway"", ""Width"": 1.0, ""Height"": 1.5}, ""unit"": ""m""}]}"
Relocate IfcWall 291 to the NorthWing storey.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""id"": 291, ""Storey"": ""NorthWing""}}]}"
Could you add an IfcRoof with a pitch of 30 degrees and span 6.0 m?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""Pitch"": ""30deg"", ""Span"": 6.0}, ""unit"": ""m""}]}"
Replace the material of IfcSlab 110 with 'insulated concrete panels'.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""Material"": ""insulated concrete panels""}}]}"
"Please insert a skylight as IfcWindow on the roof, measuring 0.8 by 1.2 meters.","{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""roof"", ""Width"": 0.8, ""Height"": 1.2}, ""unit"": ""m""}]}"
Add IfcCurtainWall with width 4.0 m and height 3.2 m to the atrium.,"{""element_updates"": [{""type"": ""IfcCurtainWall"", ""action"": ""add"", ""target_properties"": {""Width"": 4.0, ""Height"": 3.2, ""Location"": ""atrium""}, ""unit"": ""m""}]}"
Can you remove any IfcFlowTerminal with power rating over 2.0 kW?,"{""element_updates"": [{""type"": ""IfcFlowTerminal"", ""action"": ""remove"", ""target_properties"": {""Power"": "">2.0kW""}}]}"
Place an IfcWindow in bedroom with width of 1.6 m and height 1.4 m.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""Location"": ""bedroom"", ""Width"": 1.6, ""Height"": 1.4}, ""unit"": ""m""}]}"
Create a new IfcDoor in the south facade with width 0.95 m.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""Location"": ""south facade"", ""Width"": 0.95}, ""unit"": ""m""}]}"
Please insert an IfcRamp with 8% slope and 4.8 m total run.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""Slope"": ""8%"", ""Length"": 4.8}, ""unit"": ""m""}]}"
Please normalize all window and wall elements in the IFC model.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""normalize"", ""target_properties"": {}}, {""type"": ""IfcWall"", ""action"": ""normalize"", ""target_properties"": {}}]}"
Normalize the entire model so that all materials use standard naming and SI units.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""units"": ""SI"", ""material_names"": ""standardized"", ""property_names"": ""standardized""}}]}"
Could you please convert all measurements to millimeters and standardize the material names in walls and doors?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""material"": ""Standardized"", ""thickness_unit"": ""mm""}}, {""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""width_unit"": ""mm""}}]}"
Make sure every window is represented with height and width in mm.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""height_unit"": ""mm"", ""width_unit"": ""mm""}}]}"
Normalize all spatial dimensions in the project to use meters and simplify property names.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""units"": ""m"", ""property_names"": ""standardized""}}]}"
Please update every IfcDoor to use SI units for dimensions.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""height_unit"": ""m"", ""width_unit"": ""m""}}]}"
Ensure all IfcWall types have standardized thickness units and materials.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""thickness_unit"": ""mm"", ""material"": ""Standardized""}}]}"
Could you please normalize everything related to window dimensions to SI units?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""normalize"", ""target_properties"": {""units"": ""SI""}}]}"
Apply normalization to all elements in the kitchen zone using millimeters for length.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""zone"": ""kitchen"", ""units"": ""mm""}}]}"
Normalize door height and width into centimeters and update their materials to standard form.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""height_unit"": ""cm"", ""width_unit"": ""cm"", ""material"": ""Standardized""}}]}"
Please normalize all window and wall elements in the IFC model.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""normalize"", ""target_properties"": {}}, {""type"": ""IfcWall"", ""action"": ""normalize"", ""target_properties"": {}}]}"
Normalize the entire model so that all materials use standard naming and SI units.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""units"": ""SI"", ""material_names"": ""standardized"", ""property_names"": ""standardized""}}]}"
Could you please convert all measurements to millimeters and standardize the material names in walls and doors?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""material"": ""Standardized"", ""thickness_unit"": ""mm""}}, {""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""width_unit"": ""mm""}}]}"
Make sure every window is represented with height and width in mm.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""height_unit"": ""mm"", ""width_unit"": ""mm""}}]}"
Normalize all spatial dimensions in the project to use meters and simplify property names.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""units"": ""m"", ""property_names"": ""standardized""}}]}"
Please update every IfcDoor to use SI units for dimensions.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""height_unit"": ""m"", ""width_unit"": ""m""}}]}"
Ensure all IfcWall types have standardized thickness units and materials.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""thickness_unit"": ""mm"", ""material"": ""Standardized""}}]}"
Could you please normalize everything related to window dimensions to SI units?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""normalize"", ""target_properties"": {""units"": ""SI""}}]}"
Apply normalization to all elements in the kitchen zone using millimeters for length.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""zone"": ""kitchen"", ""units"": ""mm""}}]}"
Normalize door height and width into centimeters and update their materials to standard form.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""height_unit"": ""cm"", ""width_unit"": ""cm"", ""material"": ""Standardized""}}]}"
Update all IfcSlab elements to have a standardized material named 'ConcreteGradeB40'.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""material"": ""ConcreteGradeB40""}}]}"
Please ensure all IfcBeam elements have fire resistance rated as 90 minutes.,"{""element_updates"": [{""type"": ""IfcBeam"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""90min""}}]}"
Normalize the property names for IfcDoor to comply with the company standards.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""normalize"", ""target_properties"": {""property_names"": ""standardized""}}]}"
Set acoustic rating of all IfcWall elements to 'High'.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""acoustic_rating"": ""High""}}]}"
Ensure IfcCovering materials are set to 'Waterproof Membrane'.,"{""element_updates"": [{""type"": ""IfcCovering"", ""action"": ""modify"", ""target_properties"": {""material"": ""Waterproof Membrane""}}]}"
Modify all IfcDoor elements to have thermal transmittance value of 1.2 W/m²K.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""thermal_transmittance"": ""1.2""}}]}"
Assign classification code 'A100' to all IfcWallStandardCase elements.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""classification_code"": ""A100""}}]}"
Update IfcWindow elements to include frame material as 'PVC'.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""frame_material"": ""PVC""}}]}"
Set color of all IfcFurniture items to 'white'.,"{""element_updates"": [{""type"": ""IfcFurniture"", ""action"": ""modify"", ""target_properties"": {""color"": ""white""}}]}"
Please update all IfcCurtainWall elements with new transparency of 70%.,"{""element_updates"": [{""type"": ""IfcCurtainWall"", ""action"": ""modify"", ""target_properties"": {""transparency"": ""70%""}}]}"
Make sure all IfcPipeFitting parts have pressure rating marked as PN16.,"{""element_updates"": [{""type"": ""IfcPipeFitting"", ""action"": ""modify"", ""target_properties"": {""pressure_rating"": ""PN16""}}]}"
Update IfcColumn materials to match 'Reinforced Concrete Type B'.,"{""element_updates"": [{""type"": ""IfcColumn"", ""action"": ""modify"", ""target_properties"": {""material"": ""Reinforced Concrete Type B""}}]}"
Apply fire classification 'EI90' to all IfcWall types.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""fire_classification"": ""EI90""}}]}"
Change property 'insulation type' for IfcSlab to 'EPS'.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""insulation_type"": ""EPS""}}]}"
Correct the labeling of 'load bearing' property for IfcWallStandardCase to 'True'.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""True""}}]}"
Set sound insulation property to 'Class A' for all IfcDoor instances.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class A""}}]}"
Please mark all IfcCovering elements as 'external finish'.,"{""element_updates"": [{""type"": ""IfcCovering"", ""action"": ""modify"", ""target_properties"": {""function"": ""external finish""}}]}"
Modify IfcWall thickness to be defined in millimeters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""thickness_unit"": ""mm""}}]}"
Add property 'window type' with value 'casement' to all IfcWindow.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""window_type"": ""casement""}}]}"
Ensure all IfcSlab structural usage property is set to 'load-bearing'.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""structural_usage"": ""load-bearing""}}]}"
Please update the properties of all IfcAirTerminal elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcAirTerminal"", ""action"": ""modify"", ""target_properties"": {""power"": ""220V""}}]}"
Please update the properties of all IfcBeam elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcBeam"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""high""}}]}"
Please update the properties of all IfcCableCarrierFitting elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcCableCarrierFitting"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""high""}}]}"
Please update the properties of all IfcCableCarrierSegment elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcCableCarrierSegment"", ""action"": ""modify"", ""target_properties"": {""opening_direction"": ""left""}}]}"
Please update the properties of all IfcDoor elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""flow_rate"": ""high""}}]}"
Please update the properties of all IfcDuctFitting elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcDuctFitting"", ""action"": ""modify"", ""target_properties"": {""is_external"": true}}]}"
Please update the properties of all IfcDuctSegment elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcDuctSegment"", ""action"": ""modify"", ""target_properties"": {""opening_direction"": ""left""}}]}"
Please update the properties of all IfcFurniture elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcFurniture"", ""action"": ""modify"", ""target_properties"": {""color"": ""white""}}]}"
Please update the properties of all IfcLamp elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcLamp"", ""action"": ""modify"", ""target_properties"": {""color"": ""white""}}]}"
Please update the properties of all IfcOutlet elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcOutlet"", ""action"": ""modify"", ""target_properties"": {""height"": ""2.4""}}]}"
Please update the properties of all IfcPipeFitting elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcPipeFitting"", ""action"": ""modify"", ""target_properties"": {""material"": ""steel""}}]}"
Please update the properties of all IfcPipeSegment elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcPipeSegment"", ""action"": ""modify"", ""target_properties"": {""is_external"": true}}]}"
Please update the properties of all IfcPlate elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcPlate"", ""action"": ""modify"", ""target_properties"": {""opening_direction"": ""left""}}]}"
Please update the properties of all IfcRailing elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcRailing"", ""action"": ""modify"", ""target_properties"": {""connection_type"": ""threaded""}}]}"
Please update the properties of all IfcSanitaryTerminal elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcSanitaryTerminal"", ""action"": ""modify"", ""target_properties"": {""is_external"": true}}]}"
Please update the properties of all IfcSlab elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""is_external"": true}}]}"
Please update the properties of all IfcSpaceHeater elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcSpaceHeater"", ""action"": ""modify"", ""target_properties"": {""color"": ""white""}}]}"
Please update the properties of all IfcStair elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcStair"", ""action"": ""modify"", ""target_properties"": {""length"": ""3.2""}}]}"
Please update the properties of all IfcValve elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcValve"", ""action"": ""modify"", ""target_properties"": {""color"": ""white""}}]}"
Please update the properties of all IfcWall elements in the model according to the latest standards.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""power"": ""220V""}}]}"
Assign color 'blue' to all IfcFurniture items.,"{""element_updates"": [{""type"": ""IfcFurniture"", ""action"": ""modify"", ""target_properties"": {""color"": ""blue""}}]}"
Set fire rating of IfcWallStandardCase to REI90.,"{""element_updates"": [{""type"": ""IfcWallStandardCase"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""REI90""}}]}"
Update the insulation type of all IfcSlab elements to EPS.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""insulation_type"": ""EPS""}}]}"
Change window frame material to aluminum.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""frame_material"": ""aluminum""}}]}"
Normalize all units in the model to meters.,"{""element_updates"": [{""type"": ""ALL"", ""action"": ""normalize"", ""target_properties"": {""units"": ""m""}}]}"
Add a new IfcRamp with a slope of 12% and a length of 6m.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""slope_percent"": 12, ""length"": 6}, ""unit"": ""m""}]}"
Remove all IfcDoor elements from the basement floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""floor"": ""basement""}}]}"
Modify the height of IfcStair to 2.4 meters.,"{""element_updates"": [{""type"": ""IfcStair"", ""action"": ""modify"", ""target_properties"": {""height"": 2.4}, ""unit"": ""m""}]}"
Add IfcColumn with height 4 meters and diameter 0.5m.,"{""element_updates"": [{""type"": ""IfcColumn"", ""action"": ""add"", ""target_properties"": {""height"": 4, ""diameter"": 0.5}, ""unit"": ""m""}]}"
Update flow rate of IfcPipeSegment to 200 L/min.,"{""element_updates"": [{""type"": ""IfcPipeSegment"", ""action"": ""modify"", ""target_properties"": {""flow_rate"": ""200L/min""}}]}"
Insert new IfcRoof element with slope 35 degrees.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 35}, ""unit"": ""degrees""}]}"
Set load-bearing property of IfcBeam to true.,"{""element_updates"": [{""type"": ""IfcBeam"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": true}}]}"
Add IfcStairFlight with 10 risers and 300mm height.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""risers"": 10, ""riser_height"": 300}, ""unit"": ""mm""}]}"
Assign thermal transmittance of 1.0 to all IfcDoor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""thermal_transmittance"": ""1.0""}}]}"
Update material of IfcPipeFitting to copper.,"{""element_updates"": [{""type"": ""IfcPipeFitting"", ""action"": ""modify"", ""target_properties"": {""material"": ""copper""}}]}"
Change IfcWall height to 3.2m in second storey.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""height"": 3.2, ""floor"": ""second""}}, ""unit"": ""m""]}"
Remove all IfcSlab elements under 10 sqm.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""remove"", ""target_properties"": {""area"": ""<10""}}]}"
Add IfcSpace for conference room with 35 sqm.,"{""element_updates"": [{""type"": ""IfcSpace"", ""action"": ""add"", ""target_properties"": {""name"": ""Conference Room"", ""area"": 35}, ""unit"": ""m²""}]}"
Update IfcLamp power consumption to 50W.,"{""element_updates"": [{""type"": ""IfcLamp"", ""action"": ""modify"", ""target_properties"": {""power"": ""50W""}}]}"
Modify floor finish material in hallway to granite.,"{""element_updates"": [{""type"": ""IfcCovering"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""material"": ""granite""}}]}"
Set transparency of IfcCurtainWall to 65%.,"{""element_updates"": [{""type"": ""IfcCurtainWall"", ""action"": ""modify"", ""target_properties"": {""transparency"": ""65%""}}]}"
Change IfcPlate thickness to 50mm.,"{""element_updates"": [{""type"": ""IfcPlate"", ""action"": ""modify"", ""target_properties"": {""thickness"": 50}, ""unit"": ""mm""}]}"
Add IfcBuildingStorey named 'Technical Floor'.,"{""element_updates"": [{""type"": ""IfcBuildingStorey"", ""action"": ""add"", ""target_properties"": {""name"": ""Technical Floor""}}]}"
